Date,Algoma_District,Brant_County,Chatham_Kent,Durham_Region,Eastern_Ontario,Grey_Bruce,Haldimand_Norfolk,Haliburton_Kawartha_Pine_Ridge,Halton_Region,City_of_Hamilton,Hastings_Prince_Edward,Huron_Perth,KFLA,Lambton_County,Leeds_Grenville_Lanark,Middlesex_London,Niagara_Region,North_Bay_Parry_Sound_District,Northwestern,City_of_Ottawa,Peel_Region,Peterborough_County_City,Porcupine,Waterloo_Region,Renfrew_County_and_District,Simcoe_Muskoka_District,Southwestern,Sudbury_and_District,Thunder_Bay_District,Timiskaming,Toronto,Wellington_Dufferin_Guelph,Windsor_Essex_County,York_Region,Total
2021-04-13,5,27,7,196,32,12,6,8,157,161,16,1,3,5,19,83,103,5,13,214,613,7,5,121,15,102,30,44,5,0,1016,78,42,519,3670
2021-04-14,6,66,0,248,37,11,38,45,192,189,20,5,15,8,18,121,149,5,6,340,593,14,5,106,-1,70,20,14,3,3,1254,40,40,476,4156
2021-04-15,3,31,7,216,74,46,31,29,140,150,15,22,18,20,8,181,215,2,5,342,983,18,6,81,3,118,36,16,7,2,1188,102,95,526,4736
2021-04-16,7,50,4,268,56,24,44,13,175,204,13,1,15,12,13,123,192,2,7,366,851,28,23,61,8,101,30,20,6,1,1469,60,74,491,4812
2021-04-17,1,46,5,301,34,29,37,25,144,211,16,5,9,6,18,117,151,-1,10,251,936,12,31,84,0,114,15,13,7,1,1162,72,70,430,4362
2021-04-18,1,11,6,279,52,24,35,22,127,151,8,11,11,14,10,117,149,3,10,239,714,15,1,74,3,101,22,15,2,0,1392,73,75,483,4250
2021-04-19,3,39,9,205,32,9,21,28,169,227,7,3,11,5,12,56,203,4,3,233,926,16,12,79,11,114,10,11,4,0,1299,70,39,577,4447
2021-04-20,1,27,2,256,9,13,13,5,130,45,4,4,14,7,8,78,106,0,5,197,775,4,11,76,1,77,20,5,3,1,1074,46,46,406,3469
2021-04-21,8,50,0,214,22,7,21,20,168,276,11,2,8,3,13,117,201,0,9,177,771,11,11,120,0,124,24,8,16,9,1249,82,74,386,4212
2021-04-22,6,38,3,200,64,18,34,4,129,144,9,5,8,16,10,113,165,3,14,279,507,9,17,94,12,69,24,16,7,5,1131,46,47,436,3682
2021-04-23,3,58,12,224,25,5,22,16,144,135,12,1,8,19,11,96,179,0,13,247,1232,9,15,83,-1,96,13,11,15,2,1257,66,65,412,4505
2021-04-24,0,32,3,199,32,14,31,14,109,133,6,7,9,12,12,96,226,1,9,158,1014,8,15,111,5,86,16,4,9,3,1191,78,45,406,4094
2021-04-25,1,31,3,207,31,7,16,6,153,109,13,6,12,8,10,104,115,2,11,209,901,14,3,118,11,111,33,10,13,5,1136,73,59,406,3947
2021-04-26,2,28,8,244,11,9,29,15,143,71,7,5,17,5,7,83,23,2,7,206,909,10,0,49,8,79,16,18,1,2,1015,28,62,391,3510
2021-04-27,3,23,2,171,3,1,8,15,138,119,9,0,9,8,2,79,73,4,6,150,673,5,21,56,4,61,17,6,4,2,1044,49,48,452,3265
2021-04-28,3,30,2,221,19,3,23,8,116,255,12,8,8,7,12,133,341,1,5,180,589,10,0,66,3,65,17,11,6,3,961,34,38,290,3480
2021-04-29,3,19,8,292,16,18,25,21,129,103,13,5,13,16,10,101,104,2,19,147,901,15,15,63,12,117,14,-8,10,6,1172,46,52,392,3871
2021-04-30,6,37,2,208,27,6,22,16,123,204,13,6,10,10,4,85,156,3,12,196,871,13,9,49,5,62,17,9,4,4,1331,54,46,267,3887
2021-05-01,3,11,3,157,21,7,26,7,127,132,10,6,9,12,16,107,89,1,7,158,819,1,16,90,2,71,17,19,5,1,1050,42,41,286,3369
2021-05-02,2,44,6,232,23,4,26,8,129,237,8,1,9,14,4,84,119,1,12,180,797,11,9,33,13,102,12,4,4,4,1198,50,46,306,3732
2021-05-03,1,17,4,271,15,6,13,5,159,194,5,4,12,5,2,61,127,2,10,130,714,9,11,106,2,101,15,6,5,0,985,41,47,351,3436
2021-05-04,1,25,2,147,11,4,13,-9,101,128,2,1,19,6,7,61,89,6,7,112,653,5,3,56,2,52,9,7,2,4,931,25,34,275,2791
2021-05-05,0,31,5,171,12,4,17,9,114,149,15,11,25,17,12,114,108,2,2,140,565,12,3,45,5,65,18,9,8,1,924,27,47,254,2941
2021-05-06,3,23,5,175,23,8,29,10,129,155,11,10,20,8,10,89,127,8,15,108,900,10,12,63,7,95,15,11,9,4,958,41,42,291,3424
2021-05-07,5,41,3,205,15,4,13,19,139,148,11,9,18,16,1,83,65,5,7,106,817,6,14,48,5,64,12,11,1,-1,876,65,35,300,3166
2021-05-08,-2,5,5,125,23,2,20,15,98,133,8,9,11,6,10,110,105,4,18,107,803,7,20,72,4,60,31,3,7,3,684,34,39,285,2864
2021-05-09,1,28,3,187,14,6,18,17,121,113,16,14,14,12,0,101,104,5,5,150,752,10,7,99,3,59,18,5,5,1,903,41,49,335,3216
2021-05-10,1,3,2,168,6,3,8,24,95,106,8,18,9,5,3,28,96,0,0,86,707,11,20,50,20,41,15,5,1,0,807,41,35,294,2716
2021-05-11,1,20,3,144,3,7,1,6,84,92,5,3,17,4,2,56,59,3,3,77,389,1,15,56,2,39,7,9,0,1,685,18,30,231,2073
2021-05-12,7,26,1,139,8,9,25,6,78,113,11,15,9,2,1,77,87,3,9,105,452,11,10,81,4,55,18,6,8,0,712,40,35,157,2320
2021-05-13,6,30,6,147,18,6,15,11,104,133,6,19,7,28,2,78,81,6,6,110,602,10,24,72,8,65,16,12,1,0,774,44,54,258,2759
2021-05-14,1,23,6,148,18,2,17,8,63,112,2,8,9,9,0,66,50,3,4,99,563,23,22,55,2,40,22,1,6,0,691,20,45,224,2362
2021-05-15,1,19,3,157,22,13,16,5,91,115,3,21,9,17,9,71,70,4,7,108,584,17,25,78,-1,68,12,7,5,0,689,36,51,252,2584
2021-05-16,2,18,4,143,10,4,11,13,74,129,9,7,6,7,2,43,59,3,1,74,547,6,37,48,6,42,14,5,2,0,633,18,50,172,2199
2021-05-17,0,17,2,120,10,5,3,16,91,101,2,4,10,11,5,30,59,2,1,90,556,20,20,75,7,59,13,7,0,0,566,21,32,215,2170
2021-05-18,0,19,5,102,9,2,8,9,60,114,13,2,6,2,0,39,47,8,1,56,360,5,7,75,1,38,6,0,-1,1,472,20,14,116,1616
2021-05-19,5,18,6,62,14,5,9,8,49,34,7,8,10,2,4,51,48,9,5,105,335,12,8,21,5,27,14,3,3,1,524,26,56,94,1588
2021-05-20,8,17,1,110,18,14,9,11,69,224,7,6,5,15,4,89,68,0,4,92,528,19,35,78,1,70,11,5,7,3,607,29,55,181,2400
2021-05-21,5,10,1,107,7,6,4,22,70,111,5,11,7,10,1,71,34,6,6,62,468,5,58,48,4,43,15,1,1,0,469,26,31,165,1890
2021-05-22,2,19,1,147,12,2,7,27,78,90,3,7,3,3,6,58,47,3,1,87,355,13,46,64,4,55,13,6,4,2,416,40,33,140,1794
2021-05-23,0,13,1,96,4,3,7,20,50,87,5,8,7,13,1,45,43,2,0,92,326,12,49,59,1,26,8,2,2,2,455,28,51,173,1691
2021-05-24,2,10,1,78,5,3,8,40,47,45,3,4,3,4,2,40,25,2,3,48,393,2,50,53,3,32,4,2,2,0,387,16,32,97,1446
2021-05-25,2,7,0,60,0,1,10,29,38,43,2,0,-1,0,12,9,40,1,1,48,231,2,28,17,1,20,5,0,-1,0,325,15,17,77,1039
2021-05-26,1,13,1,123,3,2,10,10,27,54,2,1,0,3,3,50,36,1,2,64,215,11,19,31,5,18,8,0,2,0,257,9,13,101,1095
2021-05-27,3,14,1,25,2,2,4,3,46,66,9,2,2,1,3,35,22,1,6,37,271,4,36,44,-2,47,9,9,3,-1,316,16,24,75,1135
2021-05-28,1,15,1,72,13,1,7,27,51,78,8,12,0,13,2,39,55,3,0,101,268,14,22,46,2,28,4,2,16,0,269,22,25,56,1273
2021-05-29,1,17,0,54,11,0,6,2,37,71,0,15,3,4,2,41,22,2,1,64,178,5,43,58,3,45,4,1,3,0,228,23,31,82,1057
2021-05-30,-2,11,1,54,4,0,9,18,30,59,2,9,-1,8,0,20,16,1,0,50,214,6,51,37,10,31,17,6,19,0,237,16,20,80,1033
2021-05-31,0,9,5,67,3,1,2,11,26,52,0,3,0,0,0,20,43,1,1,50,165,1,30,49,1,20,4,1,9,0,226,8,23,85,916
2021-06-01,0,6,2,50,0,3,-1,4,17,44,2,1,0,5,0,11,16,1,0,39,144,1,14,25,2,18,3,1,3,0,207,10,19,52,699
2021-06-02,0,10,0,40,3,0,2,-2,18,66,0,7,2,5,1,36,-2,2,0,41,134,3,27,29,1,20,5,0,15,0,173,14,14,69,733
2021-06-03,1,14,2,44,3,3,3,8,18,45,0,3,1,2,0,22,55,4,0,43,167,7,49,37,2,33,3,4,-2,0,225,29,17,28,870
2021-06-04,2,7,4,69,0,1,3,9,33,59,0,3,4,9,-1,24,22,0,1,52,169,4,57,56,1,23,5,3,16,0,214,17,17,31,914
2021-06-05,1,13,1,31,0,12,5,10,10,61,-1,5,4,10,0,11,5,2,1,29,123,6,48,51,0,18,1,0,20,1,181,16,21,48,744
2021-06-06,-1,12,3,33,0,2,4,18,31,33,0,2,0,3,0,14,59,0,0,40,112,3,32,34,2,27,5,2,8,1,115,6,16,47,663
2021-06-07,0,7,0,40,0,1,0,4,26,25,0,1,-1,6,0,8,15,0,0,17,95,3,25,51,0,25,2,3,0,0,114,5,19,34,525
2021-06-08,0,7,0,30,0,0,4,4,24,12,0,3,0,-2,0,3,13,1,0,13,76,1,40,24,1,4,2,3,4,0,182,11,9,0,469
2021-06-09,0,1,1,18,0,0,5,2,10,25,0,2,1,6,1,21,20,2,1,1,72,1,21,35,3,13,4,2,-1,0,97,5,16,26,411
2021-06-10,0,9,0,21,2,8,3,3,17,38,1,2,0,2,3,23,26,9,1,25,130,9,18,61,1,16,1,1,5,-2,114,6,5,32,590
2021-06-11,2,4,1,26,0,5,4,4,30,31,1,5,2,5,1,10,11,3,3,22,84,1,51,79,3,10,3,2,14,2,109,2,16,28,574
2021-06-12,1,14,0,31,0,4,1,5,14,30,1,7,-1,3,0,8,28,5,1,17,71,9,29,51,1,25,2,2,0,0,89,5,12,37,502
2021-06-13,1,1,-1,21,4,4,4,0,21,24,2,3,0,1,3,7,12,5,0,24,81,1,68,97,1,10,3,4,-1,0,102,12,2,14,530
2021-06-14,0,4,1,29,1,5,0,3,9,11,0,5,0,2,0,14,17,3,0,28,61,5,39,56,1,11,3,0,5,0,110,7,6,11,447
2021-06-15,0,5,0,12,0,3,4,2,13,7,0,0,0,4,1,9,6,2,2,11,62,1,8,45,0,8,4,0,0,0,60,1,11,15,296
2021-06-16,0,4,0,15,1,4,1,1,4,12,1,5,0,2,2,23,16,10,2,21,60,8,13,71,3,7,7,4,6,1,54,2,10,14,384
2021-06-17,-1,6,2,13,1,7,3,9,9,8,1,5,1,2,0,17,10,3,-1,34,47,1,17,57,2,9,4,3,1,0,67,4,2,27,370
2021-06-18,-1,0,1,12,5,1,2,2,7,29,0,2,1,1,0,3,13,8,1,9,50,4,16,85,0,7,4,2,1,-1,50,7,2,22,345
2021-06-19,1,6,0,16,0,5,1,2,16,23,0,3,0,1,2,5,9,14,2,16,45,-1,22,54,0,5,4,4,1,0,58,9,14,18,355
2021-06-20,0,0,0,16,2,11,1,2,10,20,0,2,3,3,0,5,13,3,1,26,49,3,14,51,0,4,3,3,2,0,45,3,10,13,318
2021-06-21,0,3,1,11,0,5,0,3,9,7,0,0,4,2,0,4,12,4,0,12,42,1,7,44,1,11,3,8,0,0,47,3,4,22,270
2021-06-22,0,0,0,1,-8,4,1,2,5,11,0,1,1,4,0,2,-1,4,0,11,20,4,5,61,1,-2,1,2,-1,0,123,5,2,37,296
2021-06-23,1,0,1,2,0,3,0,1,6,5,0,2,1,5,0,8,11,23,3,14,25,3,1,53,0,2,4,3,0,0,57,6,5,10,255
2021-06-24,0,2,0,16,2,14,1,-1,2,19,0,1,1,5,0,7,6,5,0,17,20,0,9,95,1,5,4,5,0,1,35,3,7,14,296
2021-06-25,0,3,0,7,1,18,3,3,3,17,1,3,1,9,0,2,5,6,3,7,38,1,11,39,1,8,0,7,3,0,36,9,5,6,256
2021-06-26,0,1,0,9,-6,32,3,2,12,22,1,1,0,12,2,2,15,9,0,12,34,0,24,39,0,4,5,5,4,0,64,15,17,6,346
2021-06-27,0,1,1,14,-1,38,0,0,7,10,-1,2,0,1,0,1,10,8,1,9,26,0,16,66,1,5,6,0,-1,0,42,9,4,12,287
2021-06-28,0,4,0,10,1,25,1,3,5,12,0,1,-1,3,1,9,12,5,2,10,15,1,5,26,0,7,1,-1,1,0,37,3,4,8,210
2021-06-29,0,1,3,10,-3,11,0,0,7,9,2,0,2,1,1,-4,10,4,0,3,20,1,8,69,0,-1,-3,0,0,0,130,6,8,4,299
2021-06-30,0,1,0,5,0,19,4,1,1,17,1,3,-1,0,0,13,6,4,1,11,16,3,3,46,-1,6,-1,1,0,0,17,1,2,5,184
2021-07-01,0,1,4,7,0,51,0,3,17,10,1,3,0,3,1,7,9,6,1,3,14,2,11,56,0,5,3,0,1,0,41,10,4,10,284
2021-07-02,0,1,0,3,2,18,0,1,12,8,0,2,3,2,1,14,2,3,1,5,21,8,4,41,1,3,3,1,1,0,23,4,3,9,200
2021-07-03,0,-1,0,6,-7,20,1,5,22,8,0,2,-1,3,0,2,20,1,0,11,12,1,5,47,1,6,1,2,-2,0,20,9,11,4,209
2021-07-04,0,0,0,6,0,25,1,1,12,10,0,5,2,0,0,9,6,1,0,9,17,1,6,49,0,3,1,2,0,0,42,5,-4,4,213
2021-07-05,0,4,1,1,0,18,0,13,8,8,0,1,1,4,1,4,7,1,0,2,8,1,3,34,2,5,1,0,0,0,27,5,3,7,170
2021-07-06,0,2,-1,6,0,10,0,1,5,9,3,1,3,1,0,3,7,0,2,4,26,5,0,25,-2,2,3,0,1,0,112,3,0,13,244
2021-07-07,0,0,2,6,1,11,4,1,3,16,1,2,6,4,0,5,2,2,1,4,26,5,-1,42,0,1,5,0,2,0,35,6,-1,3,194
2021-07-08,0,3,0,6,0,17,1,3,8,19,0,1,4,0,0,9,5,1,0,9,23,9,2,52,2,12,-1,0,0,0,18,11,-8,4,210
2021-07-09,0,-1,1,9,0,24,-1,2,10,3,0,1,3,4,0,2,3,0,0,4,24,0,5,50,0,2,4,0,0,0,22,5,0,7,183
2021-07-10,0,3,1,3,3,27,0,1,6,16,0,2,1,4,0,6,4,1,0,5,21,0,2,32,0,2,1,0,0,0,23,4,3,8,179
2021-07-11,0,3,0,3,0,18,2,7,4,7,1,3,0,-1,0,9,4,2,0,2,18,0,1,28,0,3,7,0,0,0,28,7,2,8,166
2021-07-12,0,0,1,0,0,18,0,4,4,8,0,1,1,1,0,5,7,2,0,0,9,8,1,15,0,0,1,1,0,0,10,9,4,4,114
2021-07-13,0,0,4,2,-1,7,0,3,6,11,0,0,0,0,0,10,4,0,0,1,13,0,2,36,0,0,2,0,-1,0,43,2,1,1,146
2021-07-14,0,1,0,3,0,20,2,2,4,5,1,2,1,1,0,12,3,2,0,-1,19,1,4,23,0,4,2,1,0,0,28,10,-2,5,153
2021-07-15,0,1,2,3,0,25,1,0,6,8,1,0,-1,1,3,9,2,2,0,2,7,0,4,25,1,4,2,0,1,0,20,7,2,5,143
2021-07-16,0,0,0,8,0,34,0,1,7,9,1,3,0,1,0,9,6,6,0,0,12,0,3,25,0,1,2,0,-1,0,23,7,2,0,159
2021-07-17,0,0,0,7,1,15,0,2,10,9,1,3,1,1,0,6,2,2,1,6,20,0,2,20,0,2,4,3,2,0,37,10,-2,11,176
2021-07-18,2,3,2,9,0,33,0,-2,2,16,1,3,0,0,0,4,4,4,0,5,12,1,10,32,3,2,3,0,0,0,22,0,1,5,177
2021-07-19,1,0,0,4,0,10,1,2,2,14,1,3,0,1,0,10,3,2,0,2,17,1,3,16,0,2,6,0,0,0,18,2,1,8,130
2021-07-20,0,3,0,2,0,10,3,1,10,8,3,0,0,2,0,0,1,3,0,2,10,0,2,17,0,0,1,0,-1,0,34,0,2,14,127
2021-07-21,1,3,0,13,0,5,0,1,9,9,0,0,0,0,-1,10,3,7,2,5,16,2,2,12,0,4,2,1,-1,0,26,0,1,3,135
2021-07-22,0,1,2,11,5,22,1,6,10,17,0,5,0,2,0,9,4,3,2,9,13,0,4,13,0,3,1,0,0,0,18,10,3,11,185
2021-07-23,0,1,3,11,0,10,0,6,4,11,2,1,0,0,0,3,5,1,1,10,25,1,0,18,3,10,0,0,0,0,43,1,4,18,192
2021-07-24,0,0,2,3,4,13,2,1,3,17,0,2,0,0,1,9,2,0,0,6,26,0,4,15,0,2,0,2,1,0,44,3,4,4,170
2021-07-25,1,1,2,11,2,8,2,5,7,11,1,1,0,0,-1,6,7,0,0,2,23,1,5,7,0,2,1,0,3,0,48,3,4,9,172
2021-07-26,0,3,2,9,0,8,1,2,2,15,1,0,0,0,0,1,1,1,0,6,13,0,1,14,0,3,2,1,0,0,22,0,3,8,119
2021-07-27,0,3,3,3,1,9,0,0,6,12,1,0,0,0,0,6,3,0,0,4,22,0,0,5,1,4,1,0,0,0,37,-2,4,6,129
2021-07-28,0,0,1,13,2,1,0,5,8,15,0,0,0,3,0,6,1,1,0,8,10,3,0,16,0,3,3,3,1,0,25,6,5,19,158
2021-07-29,0,1,2,8,1,13,0,9,12,25,0,0,0,2,1,10,1,0,0,8,38,2,0,19,1,4,7,1,-1,0,38,2,4,10,218
2021-07-30,0,1,1,9,1,8,3,3,13,13,1,0,0,0,-1,8,2,1,0,9,24,4,3,35,2,1,4,-1,-1,0,62,4,4,13,226
2021-07-31,0,1,2,22,1,8,1,1,12,27,1,2,1,0,0,11,6,1,0,5,26,3,3,28,1,-4,4,0,0,0,53,6,3,33,258
2021-08-01,0,1,1,13,1,8,0,10,5,14,5,0,2,0,1,16,4,2,0,4,33,2,2,12,6,3,3,0,2,0,40,1,4,23,218
2021-08-02,0,1,0,10,1,7,4,4,12,16,0,1,1,1,0,5,2,-1,1,9,19,0,0,5,0,2,3,0,0,0,43,2,4,16,168
2021-08-03,1,4,1,4,0,1,5,1,6,5,2,0,0,0,1,2,2,0,1,1,22,0,0,14,0,0,3,1,1,0,45,5,13,23,164
2021-08-04,0,1,0,11,0,4,0,2,0,12,2,4,0,-1,0,3,1,0,-1,-1,18,0,0,19,0,3,9,0,0,0,26,2,10,15,139
2021-08-05,0,2,0,7,0,4,2,1,11,18,4,0,0,1,0,10,-1,0,1,10,31,0,0,14,1,5,3,4,0,0,44,6,17,18,213
2021-08-06,0,3,3,13,1,14,2,7,7,15,7,3,1,2,0,15,10,0,0,10,36,1,1,22,0,7,5,1,1,1,80,8,23,41,340
2021-08-07,1,8,1,20,4,3,3,3,5,30,5,1,5,0,3,9,6,1,0,11,38,0,2,20,1,10,1,4,0,-1,94,9,19,62,378
2021-08-08,0,2,0,23,2,4,2,2,17,42,1,1,0,0,0,11,2,0,1,19,51,1,1,21,0,8,9,2,1,1,109,4,29,57,423
2021-08-09,0,2,1,14,3,11,1,0,12,29,3,0,4,0,0,2,6,1,0,4,47,0,0,23,0,10,1,2,0,0,90,4,26,29,325
2021-08-10,1,1,0,5,8,9,0,0,16,31,1,5,-2,2,1,17,2,0,1,8,31,0,0,10,0,15,3,3,0,0,96,5,22,30,321
2021-08-11,0,5,5,14,4,5,2,0,17,41,5,4,1,1,0,8,5,1,0,13,30,1,0,23,0,5,7,1,0,0,72,1,22,31,324
2021-08-12,0,6,3,44,14,6,2,3,20,29,3,3,1,0,2,15,8,0,4,20,64,1,0,17,0,25,5,6,3,0,105,7,27,70,513
2021-08-13,0,13,3,17,-4,3,2,4,26,51,2,1,1,1,4,15,13,3,0,22,61,-1,0,24,0,21,6,4,2,0,129,13,41,33,510
2021-08-14,0,11,9,20,2,3,2,3,21,57,6,1,2,5,4,20,23,0,0,16,67,3,0,18,0,10,6,3,-1,0,153,8,42,64,578
2021-08-15,1,7,3,17,2,1,0,4,24,48,4,11,0,3,5,21,20,0,1,17,69,0,1,24,0,10,2,3,1,0,116,5,27,64,511
2021-08-16,0,1,4,17,0,4,2,4,10,52,2,2,2,3,1,20,11,1,0,20,83,1,0,14,0,18,5,4,0,0,128,5,46,66,526
2021-08-17,1,4,3,19,0,4,1,-1,21,34,3,0,-1,0,2,5,14,-1,0,12,45,0,0,10,0,14,2,2,-3,0,85,0,41,32,348
2021-08-18,0,11,4,16,1,2,6,4,16,36,7,2,2,4,2,27,6,0,4,19,59,1,1,12,0,17,4,7,3,0,108,7,75,22,485
2021-08-19,3,12,4,29,0,3,3,7,17,46,8,3,-2,1,1,22,9,0,-2,19,63,2,2,17,0,25,3,2,0,0,116,13,43,62,531
2021-08-20,3,5,6,25,1,5,3,2,19,55,3,2,3,2,3,39,22,0,2,22,113,4,0,25,1,15,-1,4,2,0,136,8,58,63,650
2021-08-21,0,15,2,36,2,4,2,3,28,69,0,9,4,6,1,52,18,0,1,19,94,3,0,23,1,22,12,4,-1,0,130,3,41,86,689
2021-08-22,3,3,4,39,3,1,5,-1,22,101,6,3,0,1,2,26,15,2,0,23,63,2,2,23,-1,25,7,3,2,0,170,10,88,70,722
2021-08-23,1,15,0,30,6,7,4,9,18,64,4,5,3,3,1,32,11,1,0,27,97,2,1,11,1,19,1,4,0,0,124,11,36,91,639
2021-08-24,0,4,6,6,5,2,5,1,27,45,4,1,0,3,0,15,11,1,1,12,83,2,0,8,-1,16,0,1,-1,0,128,9,47,45,486
2021-08-25,2,4,11,21,2,1,2,1,20,86,4,1,0,3,1,34,11,0,2,29,52,1,1,16,0,24,5,16,0,0,151,15,51,93,660
2021-08-26,3,6,4,51,10,2,8,-1,9,48,3,3,1,2,1,20,14,4,2,15,102,3,1,15,0,19,2,6,1,0,144,5,78,97,678
2021-08-27,1,6,4,40,12,0,5,1,15,66,4,5,2,1,3,29,20,0,1,33,96,3,1,26,0,33,4,-2,2,0,185,25,67,93,781
2021-08-28,0,21,8,44,11,4,3,3,12,90,3,2,2,3,-1,32,16,0,0,35,114,3,4,29,1,27,11,5,3,0,168,18,62,102,835
2021-08-29,2,3,9,33,10,5,4,1,26,106,10,10,2,3,5,32,24,0,0,31,63,3,0,29,1,15,-1,4,1,0,141,15,90,63,740
2021-08-30,3,2,9,38,14,3,1,1,16,74,3,1,-1,1,1,12,20,1,-1,44,104,3,3,14,0,16,1,3,2,0,121,13,74,98,694
2021-08-31,3,19,5,19,3,3,2,0,14,42,4,2,0,0,0,19,41,2,0,10,60,5,1,19,0,21,5,6,0,-1,120,11,60,30,525
2021-09-01,-1,6,12,31,4,3,2,2,29,73,4,1,0,1,0,30,14,3,0,22,59,3,-1,26,-1,22,3,2,2,1,158,20,50,76,656
2021-09-02,0,23,22,22,24,4,5,1,19,89,6,7,3,2,1,27,33,8,2,39,104,2,4,23,0,51,7,-1,2,0,175,22,48,91,865
2021-09-03,0,7,10,50,6,1,0,4,22,46,6,6,4,0,2,18,28,4,1,49,136,1,4,17,0,23,6,4,1,0,175,19,72,85,807
2021-09-04,0,22,18,28,5,1,8,1,28,92,7,3,8,0,0,21,35,8,2,39,118,1,6,30,1,29,5,3,0,0,181,19,113,112,944
2021-09-05,0,11,7,46,19,4,2,4,33,71,3,6,0,4,3,24,42,3,4,52,100,10,0,27,0,34,4,7,3,0,156,5,68,59,811
2021-09-06,0,6,8,21,8,3,3,2,23,40,1,2,3,0,1,20,25,5,1,27,87,2,1,23,0,21,5,1,0,0,114,12,55,61,581
2021-09-07,0,21,17,32,2,1,0,3,17,35,0,5,1,2,0,18,23,2,0,30,52,7,0,6,3,18,5,2,3,0,118,5,72,64,564
2021-09-08,2,10,16,25,5,0,0,2,24,21,1,7,6,0,2,15,33,1,0,22,46,10,0,20,-2,25,-1,3,3,0,149,21,47,41,554
2021-09-09,1,7,15,19,5,5,6,7,25,55,6,1,6,8,3,34,38,2,0,72,73,6,1,31,1,37,11,8,4,0,159,14,66,72,798
2021-09-10,8,6,21,48,21,4,5,6,35,53,4,10,7,4,2,19,24,3,1,52,117,5,0,26,3,27,3,7,0,0,166,10,74,77,848
2021-09-11,1,23,24,29,3,2,9,8,18,55,8,4,7,3,5,24,29,5,4,73,100,10,2,29,0,33,15,8,3,0,170,26,50,77,857
2021-09-12,0,13,19,42,16,0,0,3,29,57,3,4,6,8,3,22,45,7,0,57,67,6,0,19,7,37,11,4,2,0,147,12,73,65,784
2021-09-13,2,10,8,20,3,2,0,2,28,32,1,4,3,4,7,0,28,4,2,59,84,3,0,30,0,16,1,1,2,0,114,16,47,67,600
2021-09-14,1,33,10,13,3,7,2,8,21,19,3,2,2,4,4,18,31,0,1,26,67,5,0,25,1,18,10,5,0,0,116,22,54,46,577
2021-09-15,2,5,9,17,11,0,2,1,26,38,6,4,4,0,7,20,34,0,4,46,61,9,2,20,0,18,10,2,1,0,141,9,45,39,593
2021-09-16,3,3,13,31,17,4,8,12,31,53,0,11,10,9,5,39,27,3,-2,64,122,1,1,30,0,26,17,9,-1,0,162,28,50,78,864
2021-09-17,2,16,26,60,21,7,5,5,10,33,1,3,3,9,3,25,19,1,2,64,77,6,2,38,4,29,15,10,-1,0,166,27,36,71,795
2021-09-18,1,17,16,47,19,5,4,4,19,25,5,4,4,4,2,31,22,2,3,76,114,3,1,23,1,21,11,15,0,0,152,42,48,80,821
2021-09-19,6,9,18,19,28,1,6,2,26,68,10,3,3,12,2,22,41,0,1,56,59,5,1,21,0,19,9,6,0,1,139,14,40,68,715
2021-09-20,-1,6,7,24,6,1,1,5,19,23,8,5,1,5,0,18,22,3,3,54,100,3,0,31,0,19,1,2,1,0,126,17,29,71,610
2021-09-21,1,11,8,21,16,0,1,2,31,18,1,4,1,8,2,19,39,2,1,58,80,3,0,17,0,13,8,3,0,0,104,24,34,44,574
2021-09-22,3,1,8,6,13,0,5,1,22,27,4,4,8,3,3,21,21,0,0,54,41,4,0,17,2,13,1,2,0,0,93,8,48,30,463
2021-09-23,0,22,17,39,29,1,3,2,24,38,2,3,5,18,0,31,26,0,1,29,76,4,7,18,0,11,5,0,-1,5,136,14,39,73,677
2021-09-24,1,13,16,35,30,2,4,6,28,66,6,8,6,8,4,8,19,0,5,70,83,3,4,29,-1,19,2,3,1,3,144,15,33,54,727
2021-09-25,0,9,12,38,30,1,2,3,20,46,1,7,3,12,3,16,28,2,2,50,69,5,2,30,0,20,7,11,0,0,113,12,28,58,640
2021-09-26,1,6,4,28,33,2,3,6,42,66,5,7,3,11,5,16,22,3,2,71,55,6,0,27,3,13,5,3,1,0,109,12,42,41,653
2021-09-27,0,26,16,22,35,2,0,6,10,46,4,7,1,5,0,15,19,1,1,41,70,2,0,22,0,16,6,5,0,0,117,25,45,48,613
2021-09-28,1,3,15,19,7,0,4,3,18,25,5,2,3,6,2,14,25,-1,0,31,39,2,0,13,5,14,3,8,3,1,138,6,31,21,466
2021-09-29,1,10,9,10,5,0,8,5,20,39,9,4,4,18,2,19,32,2,1,39,33,2,1,15,0,9,9,4,1,0,107,9,33,35,495
2021-09-30,0,1,20,43,35,1,2,2,17,42,5,5,12,8,1,21,43,5,1,55,85,4,0,15,0,15,14,5,1,0,94,15,40,40,647
2021-10-01,1,7,25,40,31,2,7,1,17,42,2,10,12,20,7,26,32,1,2,55,65,4,2,15,6,13,7,2,0,0,110,6,43,55,668
2021-10-02,-1,6,16,14,28,8,5,1,15,44,1,9,0,21,3,28,32,3,3,70,67,6,0,31,0,24,23,1,0,1,150,17,32,46,704
2021-10-03,4,2,20,23,25,-2,3,-1,25,24,3,7,2,4,4,18,28,5,9,47,85,5,0,19,0,12,8,6,1,0,110,4,38,42,580
