Reported Date,Confirmed Negative,Presumptive Negative,Presumptive Positive,Confirmed Positive,Resolved,Deaths,Deaths_New_Methodology,Total Cases,Total patients approved for testing as of Reporting Date,Total tests completed in the last day,Percent positive tests in last day,Under Investigation,Number of patients hospitalized with COVID-19,Number of patients in ICU due to COVID-19,"Number of patients in ICU, testing positive for COVID-19","Number of patients in ICU, testing negative for COVID-19",Number of patients in ICU on a ventilator due to COVID-19,Num. of patients in ICU on a ventilator testing positive,Num. of patients in ICU on a ventilator testing negative,Total Positive LTC Resident Cases,Total Positive LTC HCW Cases,Total LTC Resident Deaths,Total LTC HCW Deaths,Total_Lineage_B.1.1.7_Alpha,Total_Lineage_B.1.351_Beta,Total_Lineage_P.1_Gamma,Total_Lineage_B.1.617.2_Delta,deaths_data_cleaning,newly_reported_deaths
2021-06-14,,,,5374,525795,8961,,540130,15573680,13588,2.8,5317,384,409,340,69,268,234,34,15327,7117,3963,10,139940,1137,4135,,,
2021-06-15,,,,5012,526440,8974,,540426,15590842,17162,2.3,14236,433,382,318,64,244,215,29,15332,7129,3965,10,140618,1137,4137,,,
2021-06-16,,,,4662,527162,8986,,540810,15618918,28076,1.5,13336,438,377,308,69,242,211,31,15332,7132,3965,10,141106,1141,4156,497,,
2021-06-17,,,,4390,527797,8993,,541180,15649372,30454,1.3,11462,397,362,297,65,232,198,34,15336,7133,3965,10,141472,1144,4187,586,,
2021-06-18,,,,4110,528421,8994,,541525,15676015,26643,1.4,11236,378,352,293,59,221,194,27,15335,7135,3965,10,141700,1146,4200,657,,
2021-06-19,,,,3871,529002,9007,,541880,15701383,25368,1.4,9299,336,335,279,56,221,196,25,15336,7135,3965,10,141986,1154,4229,731,,
2021-06-20,,,,3673,529506,9019,,542198,15722446,21063,1.7,6150,266,333,275,58,208,183,25,15336,7135,3966,10,142113,1154,4230,751,,
2021-06-21,,,,3454,529992,9022,,542468,15736274,13828,2.5,4589,261,323,268,55,202,175,27,15338,7136,3966,10,142215,1154,4254,887,,
2021-06-22,,,,3248,530434,9082,,542764,15753058,16784,1.6,11986,334,314,256,58,202,173,29,15356,7175,3967,10,142393,1154,4256,916,,
2021-06-23,,,,3032,530894,9093,,543019,15780422,27364,1.2,13342,295,305,251,54,190,162,28,15357,7175,3967,10,142647,1154,4263,975,,
2021-06-24,,,,2938,531278,9099,,543315,15809936,29514,1.1,11294,284,300,249,51,189,167,22,15356,7174,3967,10,142925,1156,4270,1056,,
2021-06-25,,,,2899,531571,9101,,543571,15836497,26561,1.3,11063,275,284,231,53,202,173,29,15356,7173,3967,10,143035,1161,4270,1080,,
2021-06-26,,,,2729,532074,9114,,543917,15862123,25626,1.1,8950,273,286,227,59,183,157,26,15360,7173,3967,10,143150,1195,4385,1126,,
2021-06-27,,,,2625,532453,9126,,544204,15880647,18524,1.5,4921,203,289,230,59,191,165,26,15361,7174,3967,10,143267,1205,4393,1343,,
2021-06-28,,,,2506,532779,9129,,544414,15893718,13071,1.8,4259,218,287,224,63,191,158,33,15362,7174,3967,10,143350,1273,4428,1629,,
2021-06-29,,,,2409,533150,9154,,544713,15922024,28306,1.6,11990,257,276,213,63,185,154,31,15386,7193,3970,10,143381,1315,4439,1704,,
2021-06-30,,,,2257,533472,9168,,544897,15949282,27258,1,11704,251,271,209,62,181,148,33,15389,7194,3970,10,143444,1365,4544,1909,,
2021-07-01,,,,2265,533729,9187,,545181,15976211,26929,0.9,10638,228,254,196,58,173,140,33,15395,7194,3970,10,143676,1387,4595,1947,,
2021-07-02,,,,2175,534010,9196,,545381,16001372,25161,0.9,5464,179,252,190,62,160,125,35,15398,7194,3970,10,143833,1415,4628,1995,,
2021-07-03,,,,2113,534272,9205,,545590,16018452,17080,1,7821,206,243,183,60,165,131,34,15399,7195,3970,10,143867,1415,4631,2027,,
2021-07-04,,,,2031,534558,9214,,545803,16037441,18989,1.3,5382,158,235,177,58,159,125,34,15400,7195,3971,10,143899,1415,4631,2041,,
2021-07-05,,,,1967,534791,9215,,545973,16050390,12949,1.3,4321,155,228,170,58,157,124,33,15397,7197,3971,10,143955,1415,4632,2041,,
2021-07-06,,,,1883,535110,9224,,546217,16066196,15806,0.9,11518,202,226,168,58,161,124,37,15417,7206,3973,10,143989,1415,4632,2049,,
2021-07-07,,,,1841,535346,9224,,546411,16093172,26976,0.9,12072,201,220,163,57,155,120,35,15429,7209,3973,10,144338,1420,4650,2222,,
2021-07-08,,,,1816,535577,9228,,546621,16119029,25857,0.8,10801,194,215,158,57,145,110,35,15431,7210,3974,10,144569,1436,4696,2285,,
2021-07-09,,,,1757,535810,9237,,546804,16145130,26101,0.7,9714,189,202,151,51,143,112,31,15434,7220,3973,10,144493,1439,4739,2459,,
2021-07-10,,,,1710,536028,9245,,546983,16168825,23695,0.6,8830,165,197,148,49,134,105,29,15434,7221,3975,10,144556,1439,4800,2557,,
2021-07-11,,,,1592,536306,9251,,547149,16188476,19651,0.9,8387,130,202,155,47,132,107,25,15435,7224,3975,10,144700,1440,4818,2707,,
2021-07-12,,,,1610,536402,9251,,547263,16204409,15933,0.9,5802,142,204,155,49,123,94,29,15437,7224,3974,10,144714,1440,4818,2711,,
2021-07-13,,,,1548,536603,9258,,547409,16221898,17489,0.8,14023,173,192,145,47,123,95,28,15439,7226,3976,10,144745,1448,4859,2752,,
2021-07-14,,,,1478,536819,9265,,547562,16250983,29085,0.6,13534,174,180,133,47,116,89,27,15439,7226,3976,10,144755,1464,4933,3057,,
2021-07-15,,,,1443,536987,9275,,547705,16282312,31329,0.5,12433,165,168,130,38,114,89,25,15440,7226,3976,10,144762,1465,4949,3136,,
2021-07-16,,,,1403,537176,9285,,547864,16310438,28126,0.6,8704,159,158,119,39,112,84,28,15440,7229,3976,10,144781,1465,4950,3150,,
2021-07-17,,,,1373,537379,9288,,548040,16331830,21392,0.6,6800,143,149,112,37,109,83,26,15441,7230,3977,10,144792,1465,4951,3282,,
2021-07-18,,,,1378,537545,9294,,548217,16346635,14805,1,4936,105,150,107,43,99,72,27,15449,7230,3977,10,144798,1466,4955,3318,,
2021-07-19,,,,1355,537698,9294,,548347,16358202,11567,1,4198,115,151,107,44,94,69,25,15446,7232,3977,10,144802,1466,4955,3322,,
2021-07-20,,,,1354,537824,9296,,548474,16371788,13586,0.9,7994,145,149,106,43,98,71,27,15445,7233,3977,10,144823,1467,4969,3340,,
2021-07-21,,,,1334,537975,9300,,548609,16392538,20750,0.8,7379,139,145,112,33,70,50,20,15448,7233,3978,10,144922,1474,5027,3693,,
2021-07-22,,,,1363,538124,9307,,548794,16412137,19599,0.9,7380,140,141,110,31,84,63,21,15449,7234,3978,10,145021,1479,5096,3754,,
2021-07-23,,,,1407,538271,9308,,548986,16431894,19757,0.9,6580,137,136,105,31,84,62,22,15448,7237,3978,10,145148,1485,5130,3885,,
2021-07-24,,,,1424,538421,9311,,549156,16451025,19131,0.8,5325,125,132,99,33,86,64,22,15450,7237,3978,10,145255,1489,5140,3897,,
2021-07-25,,,,1450,538565,9313,,549328,16464927,13902,1.1,3991,88,127,92,35,81,63,18,15450,7237,3978,10,145386,1492,5142,3913,,
2021-07-26,,,,1429,538702,9316,,549447,16476857,11930,1,3558,96,131,95,36,79,60,19,15452,7236,3979,10,145405,1492,5142,3916,,
2021-07-27,,,,1395,538860,9321,,549576,16490501,13644,1,7222,125,127,91,36,81,63,18,15452,7237,3979,10,145412,1492,5142,3921,,
2021-07-28,,,,1378,539031,9325,,549734,16511028,20527,0.8,8121,117,122,85,37,83,62,21,15453,7239,3979,10,145474,1492,5159,4044,,
2021-07-29,,,,1424,539200,9328,,549952,16530453,19425,1.3,8054,105,121,86,35,79,60,19,15453,7240,3979,10,145508,1492,5161,4421,,
2021-07-30,,,,1491,539348,9339,,550178,16551446,20993,1.1,6956,108,117,86,31,77,59,18,15459,7241,3980,10,145536,1493,5161,4565,,
2021-07-31,,,,1606,539485,9345,,550436,16570558,19112,1.2,5546,105,112,83,29,83,65,18,15458,7240,3980,10,145538,1493,5161,4741,,
2021-08-01,,,,1667,539640,9347,,550654,16584680,14122,1.4,4368,78,110,79,31,78,60,18,15458,7241,3980,10,145531,1493,5163,4802,,
2021-08-02,,,,1705,539769,9348,,550822,16596338,11658,1.3,3694,79,108,78,30,76,58,18,15459,7268,3980,10,145533,1493,5163,4816,,
2021-08-03,,,,1717,539920,9349,,550986,16607853,11515,1.1,4933,71,106,77,29,78,59,19,15459,7268,3981,10,145536,1493,5163,4884,,
2021-08-04,,,,1690,540075,9360,,551125,16624968,17115,1.2,8788,112,108,78,30,76,57,19,15458,7281,3983,10,145538,1493,5164,4909,,
2021-08-05,,,,1706,540258,9374,,551338,16648462,23494,1.2,8669,113,110,78,32,77,58,19,15458,7281,3983,10,145543,1493,5168,5094,,
2021-08-06,,,,1879,540407,9392,,551678,16671910,23448,1.4,8227,114,110,80,30,76,56,20,15458,7281,3985,10,145559,1493,5170,5137,,
2021-08-07,,,,2057,540598,9401,,552056,16692768,20858,1.8,7558,138,111,82,29,81,60,21,15460,7282,3985,10,145564,1493,5174,5182,,
2021-08-08,,,,2242,540830,9407,,552479,16707731,14963,2,7234,89,115,85,30,76,55,21,15461,7282,3985,10,145592,1493,5173,5223,,
2021-08-09,,,,2375,541022,9407,,552804,16723536,15805,2.3,4719,94,113,83,30,70,51,19,15461,7283,3985,10,145593,1493,5174,5380,,
2021-08-10,,,,2494,541222,9409,,553125,16740015,16479,1.7,10066,100,109,79,30,72,53,19,15459,7282,3985,10,145594,1493,5174,5400,,
2021-08-11,,,,2611,541426,9412,,553449,16764787,24772,1.7,8233,108,108,79,29,70,52,18,15459,7282,3985,10,145632,1493,5177,5725,,
2021-08-12,,,,2868,541682,9412,,553962,16787683,22896,2.1,9372,116,113,83,30,76,53,23,15458,7283,3985,10,145641,1493,5176,5873,,
2021-08-13,,,,3110,541946,9416,,554472,16811269,23586,2,9807,123,111,82,29,72,49,23,15455,7285,3985,10,145656,1493,5176,6019,,
2021-08-14,,,,3426,542206,9418,,555050,16834737,23468,2.4,10036,136,111,82,29,72,49,23,15458,7285,3985,10,145666,1493,5178,6119,,
2021-08-15,,,,3667,542476,9418,,555561,16853929,19192,2.6,7490,98,116,89,27,71,53,18,15456,7278,3985,10,145688,1493,5177,6182,,
2021-08-16,,,,3872,542797,9418,,556087,16869713,15784,2.7,6085,108,119,92,27,66,49,17,15458,7265,3986,10,145692,1493,5178,6245,,
2021-08-17,,,,3930,543077,9428,,556435,16887121,17408,2.6,10829,163,127,98,29,78,57,21,15413,7207,3976,10,145694,1493,5183,6539,,
2021-08-18,,,,4067,543422,9431,,556920,16913428,26307,2.5,11474,174,128,96,32,76,55,21,15413,7206,3976,10,145705,1496,5206,6656,,
2021-08-19,,,,4243,543760,9448,,557451,16939641,26213,2.4,13142,176,131,100,31,73,52,21,15413,7212,3975,10,,,,,,
2021-08-20,,,,4447,544204,9450,,558101,16968276,28635,2.4,12398,197,135,104,31,77,56,21,15418,7217,3975,10,,,,,,
2021-08-21,,,,4660,544679,9451,,558790,16994372,26096,2.7,12848,212,130,104,26,78,60,18,15421,7227,3975,10,,,,,,
2021-08-22,,,,4989,545070,9453,,559512,17017447,23075,3.2,10716,178,141,113,28,79,61,18,15420,7231,3974,10,,,,,,
2021-08-23,,,,5126,545572,9453,,560151,17037313,19866,2.8,7322,204,151,121,30,82,64,18,15421,7232,3974,10,,,,,,
2021-08-24,,,,5053,546113,9471,,560637,17054682,17369,3,11370,295,156,125,31,85,69,16,15423,7265,3976,10,145839,1500,5221,7665,,
2021-08-25,,,,5140,546685,9472,,561297,17081088,26406,2.4,13055,283,161,130,31,92,73,19,15423,7266,3976,10,145918,1500,5221,8030,,
2021-08-26,,,,5305,547198,9472,,561975,17108903,27815,2.8,14507,302,165,134,31,89,71,18,15426,7267,3976,10,146025,1500,5221,8246,,
2021-08-27,,,,5444,547823,9489,,562756,17138966,30063,3,11588,306,158,128,30,87,67,20,15428,7291,3977,10,146105,1500,5222,8732,,
2021-08-28,,,,5697,548398,9496,,563591,17167494,28528,2.6,11509,343,162,132,30,87,69,18,15429,7291,3977,10,146231,1500,5222,8994,,
2021-08-29,,,,5874,548959,9498,,564331,17190384,22890,3.3,8739,214,158,131,27,98,78,20,15439,7291,3978,10,146328,1500,5222,9130,,
2021-08-30,,,,6028,549499,9498,,565025,17208945,18561,3.6,6973,226,160,134,26,93,74,19,15439,7292,3978,10,146329,1500,5222,9699,,
2021-08-31,,,,5868,550179,9503,,565550,17228588,19643,3.1,13044,336,158,131,27,93,77,16,15482,7291,3985,10,146341,1501,5222,9779,,
2021-09-01,,,,5861,550829,9516,,566206,17256160,27572,2.9,12846,339,163,135,28,96,77,19,15492,7291,3986,10,146341,1501,5222,10543,,
2021-09-02,,,,6031,551510,9530,,567071,17283453,27293,3,13835,320,162,137,25,105,87,18,15495,7292,3986,10,146425,1501,5222,10994,,
2021-09-03,,,,6094,552248,9536,,567878,17312239,28786,3.2,13055,326,169,144,25,105,88,17,15497,7295,3986,10,146428,1501,5222,11319,,
2021-09-04,,,,6301,552976,9545,,568822,17338498,26259,3.5,12720,309,172,149,23,97,83,14,15501,7297,3987,10,146429,1501,5222,11835,,
2021-09-05,,,,6536,553549,9548,,569633,17360908,22410,2.9,8469,266,179,155,24,104,89,15,15503,7298,3987,10,146431,1501,5223,12467,,
2021-09-06,,,,6399,554265,9550,,570214,17380108,19200,3.6,6100,288,187,163,24,105,93,12,15505,7300,3988,10,146431,1501,5223,12637,,
2021-09-07,,,,6272,554953,9553,,570778,17397226,17118,3.4,8733,295,192,165,27,113,97,16,15507,7300,3989,10,146435,1501,5223,12647,,
2021-09-08,,,,6040,555723,9569,,571332,17419066,21840,3.3,13944,375,194,167,27,115,99,16,15510,7301,3993,10,146437,1501,5223,13008,,
2021-09-09,,,,6056,556495,9579,,572130,17448750,29684,3.1,14130,365,185,160,25,115,99,16,15519,7304,3995,10,146440,1501,5225,13303,7,3
2021-09-10,,,,6123,557265,9590,,572978,17476997,28247,3.1,13296,361,177,153,24,113,97,16,15521,7305,3996,10,146444,1501,5225,14051,6,5
2021-09-11,,,,6209,558021,9605,,573835,17503265,26268,3.5,13280,363,180,154,26,114,94,20,15522,7305,3997,10,146448,1501,5225,14139,7,8
2021-09-12,,,,6249,558759,9611,,574619,17526890,23625,3.2,9122,289,184,158,26,107,89,18,15531,7305,3998,10,146450,1501,5225,14646,2,4
2021-09-13,,,,6216,559386,9617,,575219,17546015,19125,3.1,9242,339,189,163,26,116,100,16,15532,7306,4001,10,146452,1501,5225,14884,2,4
2021-09-14,,,,6103,560069,9624,,575796,17567148,21133,2.3,17141,363,192,166,26,119,102,17,15533,7306,4001,10,146455,1502,5227,15278,1,6
2021-09-15,,,,5936,560824,9629,,576389,17600368,33220,2.5,18006,346,188,165,23,125,107,18,15536,7307,4003,10,146451,1502,5227,15689,1,4
2021-09-16,,,,6129,561492,9632,,577253,17634733,34365,2.4,16278,348,191,167,24,120,103,17,15536,7309,4003,10,146452,1502,5227,15925,0,3
2021-09-17,,,,6239,562172,9637,,578048,17668496,33763,2.4,15943,336,194,169,25,133,115,18,15539,7310,4003,10,146452,1502,5227,16086,0,5
2021-09-18,,,,6395,562827,9647,,578869,17699212,30716,2.5,17473,329,185,163,22,126,106,20,15544,7314,4004,10,146453,1502,5229,16705,0,10
2021-09-19,,,,6396,563535,9653,,579584,17729118,29906,2.3,12330,245,182,161,21,129,112,17,15551,7315,4007,10,146452,1502,5229,16732,1,5
2021-09-20,,,,6376,564163,9655,,580194,17752982,23864,2.7,9337,233,177,156,21,123,105,18,15552,7315,4007,10,146453,1502,5229,16755,0,2
2021-09-21,,,,6178,564927,9663,,580768,17776613,23631,2.4,21449,330,179,155,24,130,112,18,15553,7318,4007,10,146453,1502,5229,16944,0,8
2021-09-22,,,,5851,565710,9670,,581231,17815705,39092,1.8,19259,299,187,162,25,130,112,18,15564,7323,4007,10,146452,1502,5229,17594,0,7
2021-09-23,,,,5845,566386,9677,,581908,17853335,37630,1.9,21168,307,193,168,25,134,116,18,15569,7326,4009,10,146455,1502,5229,17738,1,6
2021-09-24,,,,5747,567200,9688,,582635,17890190,36855,1.8,17809,308,193,167,26,134,117,17,15578,7342,4010,10,146455,1502,5229,17836,3,8
2021-09-25,,,,5583,567994,9698,,583275,17923493,33303,1.9,17275,323,178,153,25,128,111,17,15580,7344,4010,10,146457,1502,5229,18014,4,6
2021-09-26,,,,5591,568633,9704,,583928,17954556,31063,2,11512,198,177,151,26,127,110,17,15583,7345,4010,10,146461,1502,5229,18260,3,3
2021-09-27,,,,5626,569211,9704,,584541,17977189,22633,2,9306,186,184,157,27,130,111,19,15587,7345,4010,10,146460,1502,5229,18297,0,0
2021-09-28,,,,5262,570030,9715,,585007,18000974,23785,2.1,19835,315,180,152,28,127,108,19,15593,7347,4011,10,146461,1502,5229,18508,2,9
2021-09-29,,,,4989,570790,9723,,585502,18037378,36404,1.7,19128,292,172,149,23,123,105,18,15593,7347,4011,10,146465,1503,5228,18569,0,8
2021-09-30,,,,4947,571470,9732,,586149,18076166,38788,1.7,17769,315,171,151,20,119,100,19,15595,7349,4011,10,146470,1503,5228,18582,5,4
2021-10-01,,,,4969,572105,9743,,586817,18112093,35927,1.8,14067,278,163,141,22,117,97,20,15598,7355,4012,10,146471,1503,5230,18622,3,8
2021-10-02,,,,5021,572750,9750,,587521,18141603,29510,1.8,18652,274,162,141,21,110,93,17,15604,7357,4014,10,146473,1503,5229,18629,0,7
2021-10-03,,,,4983,573366,9752,,588101,18173823,32220,2,10888,144,163,135,28,107,85,22,15607,7357,4014,10,146475,1503,5229,18815,0,2
2021-10-04,,,,5004,573854,9754,,588612,18197490,23667,2,9314,146,159,133,26,104,85,19,15611,7359,4014,10,146477,1503,5229,18864,0,2
2021-10-05,,,,4734,574550,9757,,589041,18222931,25441,1.8,17885,277,155,131,24,101,83,18,15610,7359,4014,10,146477,1503,5229,18897,-1,4
2021-10-06,,,,4579,575167,9771,,589517,18262391,39460,1.7,16552,280,156,132,24,103,84,19,15611,7364,4014,10,146479,1503,5229,18941,4,10
2021-10-07,,,,4575,575753,9776,,590104,18299448,37057,1.7,16548,279,149,125,24,102,81,21,15612,7364,4015,10,146485,1503,5229,18979,-1,6
2021-10-08,,,,4517,576374,9786,,590677,18336566,37118,1.8,13993,271,154,129,25,97,80,17,15612,7367,4017,10,146485,1503,5229,19080,0,10
2021-10-09,,,,4592,576951,9788,,591331,18367689,31123,1.8,16225,258,153,130,23,94,79,15,15615,7367,4018,10,146487,1503,5229,19126,0,2
2021-10-10,,,,4586,577490,9790,,591866,18397444,29755,1.8,8610,156,153,127,26,100,82,18,15615,7368,4018,10,146487,1503,5229,19291,0,2
2021-10-11,,,,4491,578041,9792,,592324,18418229,20785,1.9,6548,165,155,125,30,97,80,17,15617,7368,4018,10,146487,1503,5229,19342,0,2
2021-10-12,,,,4369,578553,9792,,592714,18436509,18280,1.9,9163,155,149,121,28,104,84,20,15620,7368,4018,10,146487,1503,5229,19418,0,0
2021-10-13,,,,4136,579080,9804,,593020,18459728,23219,1.7,16051,242,153,124,29,102,81,21,15624,7369,4019,10,146492,1503,5229,19448,0,12
2021-10-14,,,,4022,579608,9807,,593437,18495149,35421,1.5,18914,254,158,129,29,101,81,20,15629,7370,4019,10,146494,1503,5229,19518,0,3
2021-10-15,,,,3974,580150,9809,,593933,18531054,35905,1.4,14870,265,163,134,29,102,83,19,15632,7374,4020,10,146495,1503,5229,19591,0,2
2021-10-16,,,,3938,580667,9814,,594419,18563680,32626,1.7,14277,242,164,135,29,103,83,20,15634,7373,4020,10,146494,1503,5230,19645,0,5
2021-10-17,,,,3898,581151,9813,,594862,18591075,27395,1.4,9440,155,164,135,29,93,74,19,15634,7373,4020,10,146494,1503,5230,19799,-1,0
2021-10-18,,,,3846,581574,9815,,595235,18611507,20432,1.8,7862,145,168,138,30,97,80,17,15634,7373,4020,10,146495,1503,5230,19880,0,2
2021-10-19,,,,3672,582072,9819,,595563,18632299,20792,1.5,15515,260,159,130,29,101,81,20,15635,7374,4020,10,146495,1503,5230,19976,0,4
2021-10-20,,,,3435,582609,9823,,595867,18663868,31569,1.3,13668,258,159,132,27,113,92,21,15635,7374,4021,10,146495,1503,5230,20022,0,4
2021-10-21,,,,3356,583097,9827,,596280,18695757,31889,1.6,12387,274,161,135,26,107,86,21,15636,7374,4021,10,146495,1503,5230,20075,0,4
2021-10-22,,,,3421,583512,9839,,596772,18724663,28906,1.4,11503,261,149,121,28,94,72,22,15636,7375,4022,10,146498,1503,5230,20190,1,11
2021-10-23,,,,3369,583931,9845,,597145,18751965,27302,1.5,13410,269,136,107,29,96,73,23,15636,7375,4022,10,146497,1503,5230,20290,0,6
2021-10-24,,,,3258,584411,9846,,597515,18777293,25328,1.2,7990,138,137,107,30,97,76,21,15637,7375,4022,10,146500,1503,5230,20459,0,1
2021-10-25,,,,3215,584780,9846,,597841,18795690,18397,1.6,7079,163,138,109,29,94,71,23,15638,7375,4022,10,146500,1503,5231,20490,0,0
2021-10-26,,,,3051,585207,9852,,598110,18817517,21827,1.5,14276,233,138,107,31,88,64,24,15638,7375,4022,10,146503,1503,5231,20611,1,5
2021-10-27,,,,2978,585591,9862,,598431,18848293,30776,1.4,13925,215,134,105,29,91,69,22,15640,7375,4022,10,146503,1503,5231,20618,1,9
2021-10-28,,,,3018,585957,9865,,598840,18879676,31383,1.3,13410,197,132,104,28,93,71,22,15640,7384,4022,10,146505,1503,5231,20676,0,3
2021-10-29,,,,3038,586356,9865,,599259,18909268,29592,1.3,12281,211,130,100,30,89,68,21,15640,7384,4022,10,146506,1503,5231,20765,0,0
2021-10-30,,,,3050,586696,9869,,599615,18936035,26767,1.4,11763,213,132,105,27,86,66,20,15642,7384,4022,10,146506,1503,5231,21027,0,4
2021-10-31,,,,3015,587069,9871,,599955,18961742,25707,1.7,7935,104,133,108,25,88,71,17,15642,7384,4022,10,146505,1503,5231,21137,0,3
2021-11-01,,,,3159,587344,9874,,600377,18981582,19840,1.8,6650,134,133,108,25,84,68,16,15640,7384,4022,10,146507,1503,5231,21196,0,3
2021-11-02,,,,3100,587727,9881,,600708,19001730,20148,1.5,14419,230,136,111,25,84,67,17,15640,7385,4022,10,146511,1503,5231,21204,0,7
2021-11-03,,,,3093,588107,9886,,601086,19034680,32950,1.4,13643,237,137,114,23,79,66,13,15640,7386,4022,10,146511,1503,5231,21232,0,5
2021-11-04,,,,3189,588444,9891,,601524,19066809,32129,1.7,13726,234,130,109,21,85,71,14,15640,7386,4022,10,146513,1503,5231,21323,0,5
2021-11-05,,,,3395,588796,9896,,602087,19096996,30187,1.8,13655,225,129,109,20,81,67,14,15640,7387,4022,10,146511,1503,5231,21442,0,5
2021-11-06,,,,3533,589166,9896,,602595,19127141,30145,1.9,14173,203,130,111,19,82,67,15,15640,7388,4022,10,146511,1503,5231,21452,-3,3
2021-11-07,,,,3800,589533,9898,,603231,19154287,27146,2,9364,93,126,106,20,81,67,14,15640,7388,4022,10,146513,1503,5231,21709,0,2
2021-11-08,,,,4040,589771,9900,,603711,19177267,22980,2.2,6356,105,127,107,20,74,63,11,15640,7388,4022,10,146513,1503,5231,21709,0,2
2021-11-09,,,,4022,590227,9903,,604152,19196635,19368,3.1,14750,244,134,115,19,78,68,10,15640,7388,4022,10,146513,1503,5231,21894,0,3
2021-11-10,,,,4053,590641,9912,,604606,19229999,33364,1.8,11901,243,136,116,20,74,64,10,15640,7388,4022,10,146513,1503,5231,21973,0,9
2021-11-11,,,,4269,591063,9916,,605248,19259813,29814,2.1,13635,251,132,108,24,72,60,12,15640,7408,4022,10,146508,1503,5231,22007,-1,5
2021-11-12,,,,4400,591525,9921,,605846,19290043,30230,2.5,11008,207,130,107,23,72,59,13,15643,7409,4022,10,146508,1503,5231,22052,1,4
2021-11-13,,,,4586,591994,9927,,606507,19316499,26456,2.4,11512,263,131,106,25,78,63,15,15643,7409,4022,10,146508,1503,5231,22249,0,6
2021-11-14,,,,4778,592461,9934,,607173,19341352,24853,2.7,7708,126,133,107,26,78,65,13,15643,7409,4022,10,146509,1503,5231,22492,3,4
2021-11-15,,,,4985,592803,9937,,607725,19362827,21475,2.2,6576,138,141,113,28,79,66,13,15643,7409,4022,10,146509,1503,5231,22753,0,3
2021-11-16,,,,4814,593454,9938,,608206,19381792,18965,2.5,13685,301,139,112,27,82,70,12,15643,7409,4022,10,,,,,0,1
2021-11-17,,,,4741,594027,9950,,608718,19410723,28931,2.5,13473,274,133,108,25,77,64,13,15646,7409,4023,10,,,,,0,12
2021-11-18,,,,4872,594602,9955,,609429,19445070,34347,2,12480,278,129,104,25,78,65,13,15647,7409,4023,10,,,,,0,5
2021-11-19,,,,5094,595169,9959,,610222,19475585,30515,2.6,11899,269,128,107,21,72,62,10,15650,7411,4023,10,,,,,0,4
2021-11-20,,,,5317,595669,9964,,610950,19505723,30138,2.3,11131,283,133,111,22,77,62,15,15650,7411,4023,10,,,,,0,5
2021-11-21,,,,5465,596259,9967,,611691,19535522,29799,2.6,6884,107,135,113,22,79,66,13,15652,7411,4023,10,,,,,0,3
2021-11-22,,,,5597,596753,9968,,612318,19555074,19552,3.4,6489,136,133,111,22,78,66,12,15653,7412,4023,10,,,,,0,1
2021-11-23,,,,5487,597470,9974,,612931,19569784,19859,3.1,14591,282,134,111,23,81,68,13,15654,7412,4023,10,,,,,-3,9
2021-11-24,,,,5407,598134,9981,,613522,19599876,30092,2.5,15681,289,137,118,19,84,73,11,15654,7412,4023,10,,,,,0,7
2021-11-25,,,,5552,598733,9985,,614270,19633808,33932,2.6,15435,257,137,117,20,87,76,11,15653,7412,4023,10,,,,,-1,5
2021-11-26,,,,5807,599399,9991,,615197,19667709,33901,3,15153,268,140,121,19,86,75,11,15653,7412,4024,10,,,,,1,5
2021-11-27,,,,6079,599979,9993,,616051,19699153,31444,3,13818,254,134,116,18,87,77,10,15654,7414,4025,10,,,,,0,2
2021-11-28,,,,6484,600537,9994,,617015,19728845,29692,3.2,11862,122,135,118,17,85,76,9,15654,7414,4025,10,,,,,0,1
2021-11-29,,,,6816,600990,9997,,617803,19754861,26016,3.5,9376,145,148,131,17,89,79,10,15654,7414,4025,10,,,,,1,2
2021-11-30,,,,6940,601550,10000,,618490,19776337,21476,3,15824,266,153,137,16,96,83,13,15656,7414,4025,10,,,,,0,3
2021-12-01,,,,6750,602515,10005,,619270,19811701,35364,3.1,16736,296,155,139,16,90,77,13,15657,7416,4025,10,,,,,-1,6
2021-12-02,,,,6932,603285,10012,,620229,19850181,38480,2.9,17333,291,155,139,16,85,74,11,15660,7418,4025,10,,,,,-1,8
2021-12-03,,,,7217,604027,10016,,621260,19889929,39748,2.9,16032,286,146,127,19,92,79,13,15662,7419,4025,10,,,,,0,4
2021-12-04,,,,7540,604749,10024,,622313,19926197,36268,3.5,14863,284,160,142,18,98,85,13,15664,7419,4026,10,,,,,1,7
2021-12-05,,,,8115,605358,10024,,623497,19957932,31735,3.2,11423,140,164,146,18,101,87,14,15664,7419,4026,10,,,,,0,0
2021-12-06,,,,8439,605918,10027,,624384,19983913,25981,3.5,9859,137,168,149,19,101,88,13,15668,7420,4027,10,,,,,0,3
2021-12-07,,,,8479,606797,10036,,625312,20010049,26136,3.8,17087,340,165,144,21,95,82,13,15670,7423,4027,10,,,,,0,9
2021-12-08,,,,8351,607926,10044,,626321,20048551,38502,3.3,19212,333,155,135,20,97,86,11,15673,7425,4027,10,,,,,0,8
2021-12-09,,,,8661,608896,10054,,627611,20088793,40242,3.5,23263,309,155,135,20,94,84,10,15675,7425,4028,10,,,,,1,9
2021-12-10,,,,9193,609806,10065,,629064,20128734,39941,4.4,25644,309,151,130,21,90,81,9,15680,7432,4028,10,,,,,0,11
